tx_from,tx_to,tx_hash,block_number,token_sold_address,token_sold_amount_raw,token_bought_address,token_bought_amount_raw,amount_usd
0xa5899164010e90cf092ee82f74a3374000fc475e,0x284f11109359a7e1306c3e447ef14d38400063ff,0xaa7a30efc0f61cc25dd69febea514716b324d2296ab214bc4ae19af472e8308b,8614358,0x4200000000000000000000000000000000000006,360000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,648909833701308002552926,947.4084
0x676eb771478603cacb185a8f105e399787253cba,0x284f11109359a7e1306c3e447ef14d38400063ff,0xd46b4c68184f715c000987d35c630911954cadeef4af61b03e953988875e927b,8614347,0x4200000000000000000000000000000000000006,442000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,778401535080349558198476,1163.20698
0x13edf8ebb75947dccb21b06c357ef3d3f56267fe,0x284f11109359a7e1306c3e447ef14d38400063ff,0x2e4de5881cc112ee4527c88e0fb990e8ee4aff384f1c2b6af38741ec10d5506c,8614377,0x4200000000000000000000000000000000000006,400000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,691271541610779555120899,1052.6760000000002
0x00b60336ddcadac8dbd38b63aa48136caada99df,0x284f11109359a7e1306c3e447ef14d38400063ff,0xed05a52c9fbb0fc06a2d05e58e170c646886805baa7f55beacb738e335740aa8,8624054,0x4200000000000000000000000000000000000006,841000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,202141081346329201157999,2184.1190500000002
0xc097c1ffc22bf2b94c6914695602e457a310127b,0x284f11109359a7e1306c3e447ef14d38400063ff,0x50e75f85b38cf98648b227d4cc35cdce2c4b7d1538197a220dc43ea503b152fd,8614333,0x4200000000000000000000000000000000000006,71000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,130110543289299766342907,186.84999
0x1d0c8daa15852a6ab6c2153b149eff14f353f569,0x284f11109359a7e1306c3e447ef14d38400063ff,0xcda24b7c75c94fdcfc6fc9de9e67664f5a6f8fab6a9ebf14350dac8cefa530ca,8612487,0x4200000000000000000000000000000000000006,220000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,911139699355777889236690,579.8012
0xe237a2affb279cc4b4b143a964903eacaa47569f,0x284f11109359a7e1306c3e447ef14d38400063ff,0x65ec196bd6a81b8962c848b1989ee23e813bdef873ea0a62fb4ba35b2cf86bd4,8617752,0x4200000000000000000000000000000000000006,230000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,343012910663231819966564,605.7786000000001
0x2f28ffc7e4af1b8e4d765c8238c96fbf10c9fe69,0x284f11109359a7e1306c3e447ef14d38400063ff,0x80483e305052136523fa23d34e2042b425ffa86af5ecfebda6dc4b3ba2b0560e,8612481,0x4200000000000000000000000000000000000006,270000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,1144468056921465290962543,711.5742
0xff61f2beb816a3ddca5f0ce9776f0a799d1d8558,0x284f11109359a7e1306c3e447ef14d38400063ff,0x680662f04a5ce4ce6426b8f690a6fbaf0f10a5526a80491f4f9376e1092f88ba,8612512,0x4200000000000000000000000000000000000006,53000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,233412441120922577897481,139.67938
0x3b4b85b3188130c799bef5651e37081a753126ab,0x284f11109359a7e1306c3e447ef14d38400063ff,0x6a2c4c8f7c0a18c259582e282a9cb737949b3ca356701fd46cbdd05ca9976129,8617797,0x4200000000000000000000000000000000000006,167000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,240623760863717109685309,439.84794000000005
0xae70f7adcc2196a5f510fbf0d21cb797533f7e6a,0x284f11109359a7e1306c3e447ef14d38400063ff,0x6315ef9d4872197d132468e22378f8f4bde235b530a99c00a041a8189b42fd30,8612508,0x4200000000000000000000000000000000000006,385000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,1732341793760665818694219,1014.6521
0x2541bba8f1cb17a809d07f9d0909b1936289bc7b,0x284f11109359a7e1306c3e447ef14d38400063ff,0x8306282041f1f4f21fdaa5fc98877f4bbdf115ef0a78b83147e887e272188940,8617747,0x4200000000000000000000000000000000000006,194000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,292741464838295461716230,510.96108000000004
0x125c2eda959d1ef4b4e6f74ffba3095329083592,0x284f11109359a7e1306c3e447ef14d38400063ff,0x86375c94786c34411b86fe1d0297a56ea4d67131579657c74500bce2bcf46288,8612467,0x4200000000000000000000000000000000000006,128000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,570370883784149893661269,337.33888
0xe42bfc11a85a5ff632044066d770fdfbd67c7e54,0x284f11109359a7e1306c3e447ef14d38400063ff,0x43eb8a4876e9e8394b736fa2e6592be3d11f008c6ca446dba5238eafac6df3c8,8617761,0x4200000000000000000000000000000000000006,340000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,494425347515057336530019,895.4988000000001
0x44484596d2f3c94a385d301f3d980c713cceaaf9,0x284f11109359a7e1306c3e447ef14d38400063ff,0xc8ed2224f580f7e37dbbd25add3e95b3c305cf6cfe79b8e77046324fb2a86f7b,8617847,0x4200000000000000000000000000000000000006,330000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,469066819464618951507392,869.1606
0xb96d6171a4028097f744a355016d8053175d3426,0x284f11109359a7e1306c3e447ef14d38400063ff,0x0c4139b55ea6cb23c032e6be286b685109abf920086dae82db5e8270603401fa,8620925,0x4200000000000000000000000000000000000006,821000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,359858631435841823533851,2127.9170599999998
0xa7783a4f40e0a7bb47e6b174b2e321d70f759c8c,0x284f11109359a7e1306c3e447ef14d38400063ff,0x68318b52ccde56e727455dca348b96814a591aa1529b7e529117f1a89915c004,8620950,0x4200000000000000000000000000000000000006,2240000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,936322239454382757786717,5805.7664
0x08c7325cd09e76eabd5a8d49a3f3e8b40b70f727,0x284f11109359a7e1306c3e447ef14d38400063ff,0xcb711cd35bfb780bc00b27fda1cf283c06349fd6a664759d214d37e5578f12ea,8617833,0x4200000000000000000000000000000000000006,271000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,407350815243766437866564,713.7652200000001
0x70ce928635608f4730fb6dfc08cd7ec66c0c8c08,0x284f11109359a7e1306c3e447ef14d38400063ff,0x34136d3de1390a8ba14287c70a220115549cc817ae23f4df61e51cc7e01e1659,8617827,0x4200000000000000000000000000000000000006,80000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,112259271914270695281731,210.7056
